,,Category,Accuracy,,,,,,,,,,,,
Name,Online shopping,4,y,,,,,,,,,,,,
Name,Luxury goods,5,n,,,,,,Ad Category,Label,Total Count,Total Yes,Accuracy,Total No ,Total What ?
Name,Home Appliances,5,y,,,,,,Art and Music,1,84,48,0.572,28,
Name,Interior design,3,n,,,,,,Sports,2,49,28,0.572,13,
Name,Association football (Soccer),2,y,,,,,,Leisure,3,92,40,0.435,35,
Name,Video games,2,n,,,,,,Shopping,4,96,42,0.438,43,
Name,Bars,3,w,,,,,,Technology,5,24,12,0.5,10,
Name,Entertainment,1,y,,,,,Total,,,345,170,,,
Name,Sports,2,y,,,,,,,,,,,,
Name,Shoes,4,y,,,,,,,,,,,,
Name,Western swing,4,n,,,,,data bucket,Yes,,,,,,
Name,Moisturizer,3,n,,,,,,No,,,,,,
Name,Current events,1,y,,,,,,What ?,,,,,,
Name,Arts and music,1,y,,,,,,,,,,,,
Name,YouTube,1,y,,,,,,,,,,,,
Name,Home improvement,5,y,,,,,,,,,,,,
Name,Cooking,3,y,,,,,,,,,,,,
Name,Music,1,y,,,,,,,,,,,,
Name,Food,3,y,,,,,,,,,,,,
Name,Facebook,3,y,,,,,,,,,,,,
Name,Instagram,3,y,,,,,,,,,,,,
Name,Burberry,4,n,,,,,,,,,,,,
Name,Movies,1,y,,,,,,,,,,,,
Name,Self-esteem,3,w,,,,,,,,,,,,
Name,Cologne,4,y,,,,,,,,,,,,
Name,Fine art,1,y,,,,,,,,,,,,
Name,Children's clothing,4,n,,,,,,,,,,,,
Name,Fitness and wellness,2,y,,,,,,,,,,,,
Name,Individual,,,,,,,,,,,,,,
Name,Celebrity,3,y,,,,,,,,,,,,
Name,Modern furniture,5,y,,,,,,,,,,,,
Name,Physical fitness,3,y,,,,,,,,,,,,
Name,Photograph,1,y,,,,,,,,,,,,
Name,Games,2,y,,,,,,,,,,,,
Name,Opera,1,y,,,,,,,,,,,,
Name,Hair products,4,y,,,,,,,,,,,,
Name,Walking,,,,,,,,,,,,,,
Name,Sales promotion,,,,,,,,,,,,,,
Name,Android (operating system),5,y,,,,,,,,,,,,
Name,Shopping,4,y,,,,,,,,,,,,
Name,Books,1,y,,,,,,,,,,,,
Name,Do it yourself (DIY),4,w,,,,,,,,,,,,
Name,Retail,4,y,,,,,,,,,,,,
Name,Streetwear,4,n,,,,,,,,,,,,
Name,Housekeeping,5,w,,,,,,,,,,,,
Name,IOS,5,y,,,,,,,,,,,,
Name,Coupons,,,,,,,,,,,,,,
Name,Rapping,1,y,,,,,,,,,,,,
Name,Science,5,y,,,,,,,,,,,,
Name,Running Man (TV series),1,y,,,,,,,,,,,,
Name,NhacCuaTui.com,1,y,,,,,,,,,,,,
Name,Ferrari,5,w,,,,,,,,,,,,
Name,Theatre,1,y,,,,,,,,,,,,
Name,Furniture,4,n,,,,,,,,,,,,
Name,World Wide Web,,,,,,,,,,,,,,
Name,Culture,1,y,,,,,,,,,,,,
Name,Dance,1,n,,,,,,,,,,,,
Name,TV reality shows,1,y,,,,,,,,,,,,
Name,Multinational corporation,2,w,,,,,,,,,,,,
Name,Wine,3,y,,,,,,,,,,,,
Name,Business,3,y,,,,,,,,,,,,
Name,Basketball,2,n,,,,,,,,,,,,
Name,Coffee,3,y,,,,,,,,,,,,
Name,Shaving,,,,,,,,,,,,,,
Name,Competition,2,w,,,,,,,,,,,,
Name,Aesthetics,3,y,,,,,,,,,,,,
Name,Recipes,3,y,,,,,,,,,,,,
Name,Boutiques,4,w,,,,,,,,,,,,
Name,Footwear,4,y,,,,,,,,,,,,
Name,Stand-up comedy,1,y,,,,,,,,,,,,
Name,Video,1,y,,,,,,,,,,,,
Name,Physical exercise,1,y,,,,,,,,,,,,
Name,Lacoste,4,y,,,,,,,,,,,,
Name,Smartphones,5,y,,,,,,,,,,,,
Name,Google,5,y,,,,,,,,,,,,
Name,K-pop,1,y,,,,,,,,,,,,
Name,Sunglasses,4,y,,,,,,,,,,,,
Name,Popular music,1,y,,,,,,,,,,,,
Name,Printing,1,y,,,,,,,,,,,,
Name,Taiwanese Hokkien,1,w,,,,,,,,,,,,
