*Are you self-employed?*,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",*Do you have previous employers?*,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you *currently* have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*","If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up your *mental* health with a potential employer in an interview?,Why or why not?.1,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),What is your age?,What is your gender?,What country do you *live* in?,What US state or territory do you *live* in?,What is your race?,What country do you *work* in?,What US state or territory do you *work* in?
False,26-100,True,True,I don't know,No,Yes,Yes,I don't know,Very easy,Physical health,Yes,False,Yes,True,True,5.0,5.0,True,False,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,8.0,5.0,Don't Know,No,False,No,Not applicable to me,Not applicable to me,No,8,Yes,If it impacts work I would bring it up,Maybe,If I feel it's under control I likely wouldn't bring it up for fear of adding something they would need to consider when hiring.,False,8,No,Maybe/Not sure,4,"
",False,25,Male,United States of America,Nebraska,White,United States of America,Nebraska
False,26-100,True,True,Yes,No,No,Yes,Yes,I don't know,Physical health,Maybe,False,Maybe,True,True,5.0,7.0,True,False,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,True,True,8.0,5.0,Possibly,Possibly,False,Yes,Sometimes,Often,No,7,No,I do not trust that the potential employer would remain unbiased in light of such information.,No,I do not trust that the potential employer would remain unbiased in light of such information.,False,7,"Yes, I observed","Yes, I experienced",1,"
",False,51,male,United States of America,Nebraska,White,United States of America,Nebraska
False,26-100,True,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,True,5.0,4.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,10.0,2.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,No,4,Maybe,It depends on its applicability to my job and how detrimental it could be.,No,The stigma attached to mental health and not knowing the interviewers feelings on it could potentially affect my ability to obtain said job.,False,4,Maybe/Not sure,"Yes, I observed",2,I think opening up more conversation around these issues and increasing awareness around mental health would help ease conversations about it,True,27,Male,United States of America,Illinois,White,United States of America,Illinois
False,100-500,True,True,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Yes,False,Maybe,False,True,1.0,3.0,True,True,I don't know,N/A (was not aware),Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,At some of my previous employers,False,True,3.0,1.0,No,No,False,Yes,Not applicable to me,Not applicable to me,No,3,No,discrimination/bias,No,discrimination/bias,False,8,No,"Yes, I observed",3,"
",False,37,male,United States of America,Nebraska,White,United States of America,Nebraska
False,26-100,True,True,I don't know,No,I don't know,I don't know,I don't know,I don't know,Physical health,No,False,No,False,False,4.0,4.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,4.0,4.0,No,No,False,No,Not applicable to me,Not applicable to me,No,1,No,"
",No,"
",False,5,No,No,3,"
",False,46,m,United States of America,Nebraska,White,United States of America,Nebraska
False,100-500,True,False,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Yes,True,True,6.0,5.0,True,True,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,7.0,6.0,Yes,Yes,True,Yes,Sometimes,Often,No,5,No,wouldn't want to risk not getting the job,No,wouldn't want to risk not getting the job,False,5,No,Maybe/Not sure,3,"
",False,36,female,United States of America,Nebraska,White,United States of America,Nebraska
False,26-100,True,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,True,True,5.0,5.0,True,False,I don't know,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,False,"No, at none of my previous employers",False,False,10.0,3.0,Yes,Yes,True,Yes,Rarely,Sometimes,No,7,Yes,"Would, because it is a safety issue for me, to not disclose the information. Just awareness. ",No,"I just would not because I don’t think it changes how I perform my job. Work still gets done, just might go about it differently if I’m having trouble. ",False,6,No,No,3,Emphasize more on whole person health as an important goal for all. More posters or ads. ,False,39,Female,United States of America,Nebraska,White,United States of America,Nebraska
True,More than 1000,True,True,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,False,Maybe,False,False,6.328947368421052,4.878289473684211,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,False,At some of my previous employers,False,True,3.0,3.0,Possibly,No,True,Yes,Rarely,Sometimes,No,5,Maybe,"If it was a physical issue that would make me miss work regularly, I'd bring it up.  If it was something I could power through, no.",No,Too much stigma yet,False,5,Maybe/Not sure,No,3,"Too many people use OCD and ADHD as jokes to describe their tendency or their laziness and lack of desire to pay attention. I know there are some people who have this, but the amount of people who jokingly profess they have it (without diagnosis) make it harder for people to admit they have these things in real life.  In addition, it's less of a direct tech issue than a masculine issue.  Transitive property: Tech is masculine, it's not masculine to admit you have issues, therefore, you don't admit it in tech.",False,35,Male,United States of America,Wisconsin,White,United States of America,Wisconsin
False,26-100,True,True,Yes,No,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,True,8.0,7.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,2.0,1.0,No,Yes,False,No,Never,Not applicable to me,No,5,Maybe,Depends on who I was talking to,No,No knowledge of how supportive they are,False,5,No,No,2,Provide support and educate from the top down ensuring line managers especially are supportive and educated,False,49,Male,United Kingdom,California,White,United Kingdom,California
False,6-25,True,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,True,False,8.0,8.0,True,True,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,False,False,5.0,6.0,Possibly,Don't Know,True,I don't know,Sometimes,Sometimes,Maybe,2,Maybe,"
",Maybe,"
",False,8,"Yes, I observed",Maybe/Not sure,3,"
",False,45,Male,United Kingdom,California,White,United Kingdom,California
